Date,Predicted_Log_Return,Predicted_Close
2026-01-16,8.03394359536469e-05,3588.201104270103
2026-01-19,0.001118569984100759,3592.217003935945
2026-01-20,0.0007292490336112678,3594.837580124778
2026-01-21,0.0008077389793470502,3597.742443590454
2026-01-22,0.0005918949609622359,3599.8725595539195
2026-01-23,0.0010486636310815811,3603.649595057403
2026-01-26,0.0011908197775483131,3607.9434483618606
2026-01-27,0.0013601889368146658,3612.8542721919657
2026-01-28,0.0015259113861247897,3618.37137589749
2026-01-29,0.0016948595875874162,3624.5092072272514
2026-01-30,0.002223080722615123,3632.575746736892
2026-02-02,0.002420813776552677,3641.3801888065414
2026-02-03,0.002593378536403179,3650.835921879042
2026-02-04,0.002741951495409012,3660.860073482892
2026-02-05,0.0027439077384769917,3670.9189297436524
2026-02-06,0.002768374513834715,3681.0954879139063
2026-02-09,0.00281628780066967,3691.47712420563
2026-02-10,0.002867132890969515,3702.0762669993514
2026-02-11,0.002900928258895874,3712.8313169306907
2026-02-12,0.0029382524080574512,3723.7565952409013
2026-02-13,0.0033205104991793633,3736.1419195316284
2026-02-16,0.0034048869274556637,3748.884741936376
2026-02-17,0.003226536326110363,3761.000189694092
2026-02-18,0.003086355049163103,3772.6259029303537
2026-02-19,0.0029571857303380966,3783.7987703963445
2026-02-20,0.002835232298821211,3794.5419413784734
2026-02-23,0.002723607700318098,3804.89087184515
2026-02-24,0.002641814760863781,3814.95597793293
2026-02-25,0.0025946409441530704,3824.8672714770673
2026-02-26,0.002557682106271386,3834.662587368412
