Ticker,Split,Model,Return_MAE,Return_RMSE,Price_MAE,Price_RMSE,Price_MAPE,Price_R2,Direction_Accuracy
BBRI.JK,Train,Naive_Zero_Return,0.01380966603755951,0.019992619837092093,30.940052032470703,44.39651217121397,1.3794892,0.997530460357666,11.18811881188119
BBRI.JK,Test,Naive_Zero_Return,0.014952235855162144,0.02041674871386655,56.37065887451172,75.74941663863656,1.4955473,0.9755632281303406,6.324110671936759
BBRI.JK,Train,MA5_Return,0.015359698794782162,0.022130791856506037,34.44180679321289,48.9918978473737,1.5340174,0.9969927668571472,42.475247524752476
BBRI.JK,Test,MA5_Return,0.016490433365106583,0.02236865095779852,62.192501068115234,82.59158919326319,1.6477488,0.9709492921829224,48.023715415019765
BBRI.JK,Train,Ridge_Return,0.01182765606790781,0.015826858531975123,27.43016815185547,38.20299878557883,1.1826705,0.9981714487075806,59.95049504950495
BBRI.JK,Test,Ridge_Return,0.017287518829107285,0.022828932044782046,65.17164611816406,85.01639605191606,1.7329814,0.9692184329032898,47.233201581027664
BBRI.JK,Train,LSTM_Return_Ensemble,0.01366586983203888,0.019715664144015866,30.69416046142578,43.97188849184286,1.3647655,0.9975774884223938,49.75247524752475
BBRI.JK,Test,LSTM_Return_Ensemble,0.015306557528674603,0.020773591652954924,57.70358657836914,77.1096805338425,1.5299501,0.9746776819229126,44.07114624505929
BBRI.JK,Train,LSTM_Univariate,0.013785154558718204,0.01991468324882594,30.885530471801758,44.228854024497544,1.3770921,0.9975490570068359,48.26732673267327
BBRI.JK,Test,LSTM_Univariate,0.015047265216708183,0.020471127799429483,56.73965835571289,76.00443295048652,1.5054688,0.9753984212875366,47.03557312252965
