Date,Open,High,Low,Close,Volume
2015-01-02,2074.300601259747,2074.300601259747,2054.768580532254,2066.48779296875,29302500
2015-01-05,2054.768977309718,2062.581787109375,2050.86257240989,2062.581787109375,25434500
2015-01-06,2031.3300725339934,2062.581304419132,2031.3300725339934,2046.9556884765625,48681500
2015-01-07,2039.1428487723215,2062.5812723214285,2039.1428487723215,2050.862060546875,40334000
2015-01-08,2050.8626243282606,2054.769029326981,2027.4241943359375,2027.4241943359375,54457000
2015-01-09,2035.237070699725,2043.0498809519313,2019.6114501953125,2019.6114501953125,108957500
2015-01-12,2019.61135160006,2031.33056640625,2000.079326923077,2031.33056640625,81651000
2015-01-13,2039.1433762770432,2039.1433762770432,2027.4241614708533,2031.33056640625,36024000
2015-01-14,2035.237070699725,2035.237070699725,2019.6114501953125,2019.6114501953125,29728000
2015-01-15,2023.5174560546875,2039.1430734759592,2023.5174560546875,2023.5174560546875,27580500
2015-01-16,2035.2366691206412,2035.2366691206412,2023.5174560546875,2023.5174560546875,46354500
2015-01-19,2027.4241614708533,2035.2369713416467,2027.4241614708533,2031.33056640625,26134500
2015-01-20,2027.4238855285057,2039.1430987396532,2019.6110767210741,2035.2366943359375,36285500
2015-01-21,2039.1435215441265,2062.5819528262427,2035.2371163304404,2043.0499267578125,73258000
2015-01-22,2039.1433577104049,2066.4881920092034,2039.1433577104049,2062.581787109375,58654000
2015-01-23,2066.4881502477133,2093.8329839939024,2066.4881502477133,2082.11376953125,121011000
2015-01-26,2082.1133833620484,2093.8325956511408,2035.2365342056796,2054.7685546875,103089000
2015-01-27,2054.768977309718,2066.4881920092034,2050.86257240989,2062.581787109375,49988500
2015-01-28,2058.6749210106227,2082.113345158751,2054.7685169859346,2074.300537109375,48230000
2015-01-29,2070.3945550685976,2082.11376953125,2062.581745426829,2082.11376953125,41599500
2015-01-30,2093.832429176402,2097.7388329621785,2082.113217819071,2089.926025390625,94142500
2015-02-02,2086.02001953125,2089.9264240622074,2070.3944014074204,2086.02001953125,38816500
2015-02-03,2089.927198621962,2109.459228515625,2086.020792643229,2109.459228515625,67046500
2015-02-04,2113.3653441504607,2187.5870475494603,2105.5525332663556,2171.96142578125,136306000
2015-02-05,2171.9616966526005,2175.868102581832,2089.927172138743,2140.71044921875,83923500
2015-02-06,2152.429667006444,2156.3360729356755,2132.8976373602877,2140.71044921875,54060500
2015-02-09,2109.458352793818,2171.960822506227,2109.458352793818,2156.335205078125,68609000
2015-02-10,2168.054729669744,2171.961134588068,2132.8970854048293,2148.522705078125,50540500
