Date,Open,High,Low,Close,Volume
2019-11-20,2325.942332952795,2342.207663952465,2293.411670953455,2309.677001953125,46727600
2019-11-21,2277.1467701981705,2342.208106489547,2260.8814361253267,2334.075439453125,60944600
2019-11-22,2309.677099436837,2334.0750969661,2293.4117677506624,2301.54443359375,40452800
2019-11-25,2277.1463373655915,2293.411668346774,2252.7483408938174,2269.013671875,47676200
2019-11-26,2277.146286947202,2293.4116175682534,2244.6156257050993,2252.748291015625,173533200
2019-11-27,2220.217725670856,2269.013719641644,2212.085060009058,2244.61572265625,72928800
2019-11-28,2228.3503895439344,2244.615720854474,2203.952392578125,2203.952392578125,56275200
2019-11-29,2203.952347950269,2277.1463373655915,2203.952347950269,2269.013671875,53250600
2019-12-02,2269.0136744539504,2325.942332952795,2252.7483434542805,2309.677001953125,74561000
2019-12-03,2293.412104271015,2334.075439453125,2285.2794372345925,2334.075439453125,79039000
2019-12-04,2301.54443359375,2325.9424311230123,2293.4117677506624,2301.54443359375,65802200
2019-12-05,2309.6774383438587,2342.208106489547,2301.544771307437,2334.075439453125,74217800
2019-12-06,2342.208106489547,2350.340773525969,2317.8101053802807,2334.075439453125,53720600
2019-12-09,2342.2078125,2374.7384765624997,2342.2078125,2358.47314453125,72098600
2019-12-10,2342.2078125,2407.2691406249996,2342.2078125,2399.136474609375,132230000
2019-12-11,2391.00390625,2407.269238945578,2382.8712399022106,2391.00390625,68454200
2019-12-12,2382.8711915734693,2423.5345224876924,2366.60585920778,2374.738525390625,79738600
2019-12-13,2407.2691406249996,2423.53447265625,2391.00380859375,2399.136474609375,127472400
2019-12-16,2391.00390625,2415.4019052933672,2391.00390625,2391.00390625,96037400
2019-12-17,2391.00390625,2407.269238945578,2382.8712399022106,2391.00390625,100790000
2019-12-18,2391.0037132085754,2456.0650387380606,2382.87104751739,2447.932373046875,123281600
2019-12-19,2447.9323256643193,2472.330322265625,2431.6669945967824,2472.330322265625,112903200
2019-12-20,2456.0648494571838,2504.86083984375,2456.0648494571838,2504.86083984375,150472200
2019-12-23,2537.391895479369,2537.391895479369,2496.7285638210456,2512.993896484375,131246800
2019-12-26,2529.2589361728765,2545.5242669521235,2521.1262707832534,2537.3916015625,140936400
2019-12-27,2545.524462890625,2545.524462890625,2512.993798828125,2521.12646484375,58182800
2019-12-30,2512.9938479743487,2537.3918464983717,2488.595849450326,2496.728515625,78005800
2020-01-02,2496.7284667968747,2529.2591308593746,2488.5958007812496,2521.12646484375,37379800
2020-01-03,2521.1265628160395,2545.5245618110334,2480.4632311577166,2512.993896484375,70294600
2020-01-06,2488.595653333162,2496.7283188669303,2447.9323256643193,2472.330322265625,61892000
2020-01-07,2512.9936499344676,2512.9936499344676,2464.1976567318566,2472.330322265625,70895600
2020-01-08,2456.0648909505207,2456.0648909505207,2399.1362345377606,2439.799560546875,105080600
2020-01-09,2456.0648494571838,2512.993504908178,2447.932184392756,2504.86083984375,75587000
2020-01-10,2504.8612301527105,2512.993896484375,2488.595897489381,2512.993896484375,64231800
2020-01-13,2512.993896484375,2521.1265628160395,2488.595897489381,2512.993896484375,75399600
2020-01-14,2537.3917968749997,2537.3917968749997,2504.8611328125,2521.12646484375,104134400
2020-01-15,2521.1266132429537,2537.3919462316176,2472.3306142769607,2488.595947265625,89795200
2020-01-16,2472.3302721440396,2496.7282682507243,2447.932276037355,2456.06494140625,145432200
2020-01-17,2464.197898494387,2521.1265628160395,2447.9325658310577,2512.993896484375,130500200
2020-01-20,2537.3917968749997,2537.3917968749997,2472.33046875,2480.463134765625,24031800
2020-01-21,2521.1261699726056,2521.1261699726056,2480.462844650467,2504.86083984375,39166600
2020-01-22,2521.1262707832534,2553.6569323417466,2512.99360539363,2537.3916015625,122175200
2020-01-23,2537.391698904743,2545.5243646063605,2504.8610360982716,2529.259033203125,83127800
2020-01-24,2545.524511102622,2602.4531742902204,2512.9938464239945,2578.05517578125,154702000
2020-01-27,2586.187893469357,2594.3205598010213,2504.8612301527105,2512.993896484375,98280000
2020-01-28,2488.5958007812496,2545.524462890625,2472.33046875,2521.12646484375,69349600
2020-01-29,2545.5242669521235,2578.054928510617,2529.2589361728765,2537.3916015625,109661000
2020-01-30,2537.3919462316176,2545.5246127259497,2472.3306142769607,2488.595947265625,85395600
2020-01-31,2496.7282682507243,2504.860933619619,2423.5342799306704,2456.06494140625,157661000
2020-02-03,2407.2688997395835,2464.1975561523436,2391.0035693359373,2439.799560546875,87271800
2020-02-04,2472.330370120432,2496.7283671939886,2439.7997073556894,2447.932373046875,138857400
2020-02-05,2472.3301795860393,2504.86083984375,2456.0648494571838,2504.86083984375,130211200
2020-02-06,2537.391500101461,2553.6568302303167,2496.728174779322,2504.86083984375,111029400
2020-02-07,2496.7285638210456,2521.1265628160395,2496.7285638210456,2512.993896484375,86438600
2020-02-10,2504.8612301527105,2521.1265628160395,2472.3305648260516,2512.993896484375,78553800
2020-02-11,2512.9937017998895,2545.5243646063605,2496.728370396654,2529.259033203125,98520200
2020-02-12,2545.5242669521235,2569.9222631209936,2529.2589361728765,2537.3916015625,104678800
2020-02-13,2545.5243168727607,2586.187644618332,2537.3916513236463,2553.656982421875,87904000
2020-02-14,2521.1261746830073,2553.6568350014977,2521.1261746830073,2545.524169921875,41345200
2020-02-17,2553.656982421875,2561.7896479709893,2537.3916513236463,2553.656982421875,29816600
2020-02-18,2537.3915048422527,2553.6568350014977,2537.3915048422527,2545.524169921875,65442000
2020-02-19,2553.6570806923155,2586.187744140625,2537.3917489681603,2586.187744140625,121614200
2020-02-20,2610.585546112061,2618.7182113647464,2578.0548851013186,2602.452880859375,114537600
2020-02-21,2586.187449008604,2602.452778876582,2545.524124338657,2569.922119140625,91798000
2020-02-24,2537.391698904743,2545.5243646063605,2488.595704695036,2529.259033203125,128768800
2020-02-25,2529.2589361728765,2569.9222631209936,2504.8609400040064,2537.3916015625,105951800
2020-02-26,2521.1266132429537,2521.1266132429537,2488.595947265625,2488.595947265625,198171000
2020-02-27,2488.5959024234694,2504.8612351190473,2358.4732408588434,2391.00390625,223088600
2020-02-28,2306.712105347938,2486.123046875,2238.3650800042956,2486.123046875,188868200
2020-03-02,2443.406105974595,2477.5796179462677,2375.05908203125,2375.05908203125,101550200
2020-03-03,2426.3194071451826,2511.753189086914,2400.689272562663,2460.492919921875,96445200
2020-03-04,2477.579570247178,2563.013348531563,2469.0361924187396,2554.469970703125,92555400
2020-03-05,2580.1002550627054,2614.2737683747946,2563.0134984066613,2597.18701171875,104748600
2020-03-06,2528.8398572198275,2528.8398572198275,2469.0362119477372,2477.57958984375,72311200
2020-03-09,2392.145875415875,2392.145875415875,2246.908447265625,2246.908447265625,113132400
2020-03-10,2272.5383167613636,2392.1455965909095,2272.5383167613636,2349.4287109375,114052000
2020-03-11,2366.5153030563188,2409.232185782967,2263.9947845123625,2332.341796875,97168800
2020-03-12,2212.7347036873784,2281.0817215618918,2127.3009313442362,2195.64794921875,91578200
2020-03-13,2118.757797121063,2212.7349574772393,2050.4107714074803,2170.01806640625,238623800
2020-03-16,2170.01806640625,2170.01806640625,2170.01806640625,2170.01806640625,0
2020-03-17,2024.78072747278,2024.78072747278,1888.086669921875,1888.086669921875,186380400
2020-03-18,1913.7167210254854,1930.803477463213,1759.9359130859375,1759.9359130859375,215103400
2020-03-19,1708.675503979645,1708.675503979645,1636.9111328125,1636.9111328125,167876200
2020-03-20,1619.8245077774664,1619.8245077774664,1524.138671875,1524.138671875,478236600
2020-03-23,1486.5475765366152,1486.5475765366152,1418.2005615234375,1418.2005615234375,59985800
2020-03-24,1418.200716799405,1445.5395257979478,1319.0975341796875,1319.0975341796875,237296200
2020-03-26,1298.5933895239095,1565.1467694788173,1291.7586874737835,1527.555908203125,386557200
2020-03-27,1541.225405797302,1785.5660189115085,1537.8080545649354,1688.1715087890625,396812000
2020-03-30,1653.9978685461956,1653.9978685461956,1571.9814453125,1571.9814453125,39766600
2020-03-31,1589.0680166391226,1647.1629763872197,1520.7210051707732,1599.320068359375,208047600
2020-04-01,1589.0683307771826,1667.667409503796,1517.3039545485358,1575.39892578125,152367000
2020-04-02,1561.7294996402138,1623.2418212890625,1489.9651243832236,1623.2418212890625,132225200
2020-04-03,1640.3283582089553,1717.2187500000002,1640.3283582089553,1717.21875,105225600
2020-04-06,1717.2189383873572,1785.5659608107346,1674.5020493727463,1777.0225830078125,113980400
2020-04-07,1845.3696122332317,1913.7166349085367,1698.4235134813264,1751.3924560546875,191464600
2020-04-08,1768.4792630177624,1768.4792630177624,1630.0765380859375,1630.0765380859375,155834800
2020-04-09,1640.3285181343683,1674.5020289288343,1575.3988476248828,1595.9029541015625,163570800
2020-04-13,1599.3202797294464,1599.3202797294464,1527.555908203125,1527.555908203125,115331000
2020-04-14,1530.9733315098467,1585.6509504923413,1503.6345220185995,1561.7294921875,132848000
2020-04-15,1585.6509499289773,1602.7377058549362,1503.634521484375,1503.634521484375,124661000
2020-04-16,1503.6343782474764,1503.6343782474764,1418.2006067561424,1438.7047119140625,215224000
2020-04-17,1442.122186251427,1510.4692092965183,1442.122186251427,1496.7998046875,163407600
2020-04-20,1520.7212553744457,1548.0600644598292,1459.2089349323335,1493.3824462890625,120672000
2020-04-21,1493.382431696749,1507.0518361058728,1452.3742184693785,1486.5477294921875,92203200
2020-04-22,1479.7128903531286,1537.8078537157226,1452.374084064849,1534.3905029296875,126786800
2020-04-23,1534.3906323242188,1561.7294409179688,1530.9732812500001,1537.8079833984375,115336400
2020-04-24,1537.807942328052,1537.807942328052,1462.626220703125,1462.626220703125,131631400
2020-04-27,1472.8781735339796,1486.5475765366152,1397.6964570194843,1418.2005615234375,205382600
2020-04-28,1431.869964526073,1448.9567182793676,1390.8617555181665,1418.2005615234375,157370600
2020-04-29,1435.2875793457033,1442.1222821044923,1366.9405517578125,1366.9405517578125,192650200
2020-04-30,1390.8619718679931,1530.9733744394618,1387.4446205857623,1524.138671875,229509600
2020-05-04,1524.1384191979896,1524.1384191979896,1448.9567034527972,1466.04345703125,80572600
2020-05-05,1469.4608773326422,1503.6343861078199,1421.6179650473932,1442.1220703125,185282400
2020-05-06,1452.3740768432617,1455.7914276123047,1421.617919921875,1421.617919921875,138733000
2020-05-08,1435.28759765625,1472.8784633091516,1428.4528948102677,1435.28759765625,127482200
2020-05-11,1462.62630670065,1462.62630670065,1431.8701460457298,1445.53955078125,83552200
2020-05-12,1445.5395121205775,1445.5395121205775,1366.940436993454,1370.3577880859375,188578000
2020-05-13,1363.5230859009703,1384.0271924558722,1332.7669260686175,1370.3577880859375,134821600
2020-05-14,1356.6882169699368,1370.35761965981,1332.7667622626582,1349.853515625,141388800
2020-05-15,1349.8536178913523,1363.5230216168343,1257.5851427443483,1284.9239501953125,227234200
2020-05-18,1298.5933234101983,1298.5933234101983,1250.7504114950857,1271.2545166015625,158710600
2020-05-19,1284.9240229315092,1366.9404499271375,1284.9240229315092,1319.0975341796875,199655000
2020-05-20,1315.6800966005067,1407.9485709075552,1308.8453947999847,1390.86181640625,237644400
2020-05-26,1411.3660674304497,1421.6181211890244,1387.444608660442,1401.114013671875,180545000
2020-05-27,1418.200653892944,1435.287408759124,1370.3577402676399,1404.53125,124329600
2020-05-28,1418.2005470115823,1483.130210609703,1418.2005470115823,1466.04345703125,265460200
2020-05-29,1466.0435897519926,1534.390610253251,1452.3741856517408,1527.555908203125,350546800
2020-06-02,1554.8948253284802,1705.258280964641,1548.0601227995637,1578.8162841796875,207635400
2020-06-03,1595.902970427839,1691.588801631221,1568.564161512587,1660.8326416015625,296607800
2020-06-04,1674.5019479634648,1708.6754571055762,1612.989631507664,1616.406982421875,169836200
2020-06-05,1616.4069509604544,1664.2498628282056,1571.9813899403996,1657.4151611328125,185391000
2020-06-08,1708.6754789806546,1819.7393851143972,1691.588724190848,1794.1092529296875,292605200
2020-06-09,1811.1960877332642,1862.4563543672245,1759.935821099304,1802.6527099609375,147413600
2020-06-10,1777.0224887824593,1785.5658661323748,1677.9193115234375,1677.9193115234375,289644200
2020-06-11,1640.328283248934,1664.2497373796475,1561.7292196765893,1602.7374267578125,364783800
2020-06-12,1568.5640674427243,1674.5019456360237,1513.8864528913439,1671.0845947265625,289959400
2020-06-15,1657.4153111344676,1677.9194180763375,1602.737692622815,1612.98974609375,169814600
2020-06-16,1647.1630597014926,1725.7621268656717,1647.1630597014926,1717.21875,146116600
2020-06-17,1742.8488445671237,1777.0223513233418,1671.0844803790658,1674.5018310546875,213944600
2020-06-18,1653.9980326925572,1698.4235996863656,1633.493924849261,1647.163330078125,152175200
2020-06-19,1667.667236328125,1691.5886925869302,1647.1631309634352,1667.667236328125,126356800
2020-06-22,1667.6673068801977,1677.9193599962643,1640.3284985706862,1643.745849609375,66825000
2020-06-23,1657.4152388602556,1657.4152388602556,1602.737622732907,1636.9111328125,95010400
2020-06-24,1671.0847796097544,1777.0226695236652,1671.0847796097544,1759.9359130859375,278417000
2020-06-25,1734.3055037313434,1777.0223880597016,1688.1712686567166,1717.21875,146123000
2020-06-26,1751.3924255371094,1759.9358032226564,1701.8408349609376,1708.675537109375,85829000
2020-06-29,1701.8409137185286,1708.6756161832616,1664.2500501624968,1688.1715087890625,99123000
2020-06-30,1717.2190015388258,1725.7623796559342,1691.5888671875,1691.5888671875,113994400
2020-07-01,1708.6756520854208,1717.2190303458478,1677.919490347883,1705.25830078125,67747600
2020-07-02,1701.8408349609376,1717.218914794922,1695.0061328125,1708.675537109375,80606600
2020-07-03,1695.0061328125,1734.3056701660157,1674.5020263671877,1708.675537109375,57839800
2020-07-06,1708.675531096059,1759.935797028941,1708.675531096059,1734.3056640625,90019000
2020-07-07,1751.3923388188427,1759.9357160813738,1725.76220703125,1725.76220703125,80447600
2020-07-08,1725.7623100099972,1828.2828432779177,1717.2189322376705,1802.6527099609375,149466800
2020-07-09,1828.2827625093005,1845.369517299107,1777.0224981398808,1794.1092529296875,98277200
2020-07-10,1794.1093820765398,1802.652760086428,1751.3924920270983,1768.479248046875,77850000
2020-07-13,1794.1092529296873,1819.7393851143972,1785.565875534784,1794.1092529296875,72688200
2020-07-14,1811.1958007812502,1819.7391772000296,1777.022295106132,1811.19580078125,78259800
