Date,Open,High,Low,Close,Volume
2019-11-20,2534.304243584334,2589.001543192441,2522.1493787914665,2564.691650390625,170292181
2019-11-21,2552.5367855977574,2570.7691643950993,2516.0718647869917,2564.691650390625,125613039
2019-11-22,2570.7695316987474,2582.9243982282646,2528.227254021279,2558.614501953125,82167459
2019-11-25,2522.1492489326706,2540.3816267912757,2503.9168710740655,2509.994384765625,62254255
2019-11-26,2522.1494140625,2540.381793114813,2491.762006831256,2522.1494140625,244288809
2019-11-27,2491.762168406679,2558.6143380775,2491.762168406679,2534.304443359375,72910799
2019-11-28,2509.994293042356,2534.3040204880913,2461.37451171875,2461.37451171875,67893172
2019-11-29,2467.452434238257,2503.9171946679935,2437.065025069414,2485.684814453125,70620339
2019-12-02,2522.1497391484677,2558.614501953125,2503.9173577461393,2558.614501953125,60937642
2019-12-03,2558.6143380775,2564.691852561055,2528.227092091914,2534.304443359375,48090300
2019-12-04,2552.5366541743947,2552.5366541743947,2503.9168710740655,2509.994384765625,55684281
2019-12-05,2552.5367855977574,2570.7691643950993,2534.304243584334,2564.691650390625,80063892
2019-12-06,2582.924232795626,2582.924232795626,2534.304443359375,2534.304443359375,73924136
2019-12-09,2546.459350129413,2558.6142152971524,2522.1494565778476,2540.3818359375,52623808
2019-12-10,2516.072063124804,2540.3819578429298,2509.9947118573436,2534.304443359375,88013950
2019-12-11,2546.4596354236073,2558.614501953125,2528.227254021279,2558.614501953125,69260056
2019-12-12,2570.769450261775,2595.0793457668246,2558.6144209012004,2582.92431640625,138108485
2019-12-13,2601.156494140625,2607.2340083463982,2576.8466005336177,2601.156494140625,184381444
2019-12-16,2613.3118080599793,2643.6990559765204,2607.2342931902294,2631.544189453125,196854450
2019-12-17,2649.776244590201,2649.776244590201,2613.3114862936654,2643.69873046875,155154269
2019-12-18,2661.9313164148057,2674.086181640625,2643.6987737519466,2674.086181640625,174183278
2019-12-19,2643.69873046875,2655.8537587116516,2625.4663513204823,2643.69873046875,103421146
2019-12-20,2643.6990963655257,2655.8541262907243,2625.466714693836,2649.776611328125,171838258
2019-12-23,2704.4736328125,2716.628498232849,2649.776330380705,2704.4736328125,135606712
