Date,Predicted_Log_Return,Predicted_Close
2026-01-16,0.0010606416035443544,7744.5423487338785
2026-01-19,0.0016699677798897028,7757.486289900438
2026-01-20,0.0023683980107307434,7775.880879253716
2026-01-21,0.0026823082007467747,7796.76618619712
2026-01-22,0.0030475708190351725,7820.563627083624
2026-01-23,0.00326693058013916,7846.15464482937
2026-01-26,0.0036011238116770983,7874.460555105253
2026-01-27,0.0040189120918512344,7906.170997906646
2026-01-28,0.004244053736329079,7939.7965162518885
2026-01-29,0.004611355252563953,7976.494286819675
2026-01-30,0.0046881032176315784,8013.976707429464
2026-02-02,0.00476327259093523,8052.240521165421
2026-02-03,0.004810849670320749,8091.071971062198
2026-02-04,0.0051457853987813,8132.814197232314
2026-02-05,0.005433881655335426,8177.127233967485
2026-02-06,0.005790178198367357,8224.611596599549
2026-02-09,0.006056772079318762,8274.57735734611
2026-02-10,0.006417334545403719,8327.84883610095
2026-02-11,0.006639646366238594,8383.326780518677
2026-02-12,0.006919750012457371,8441.538479034616
2026-02-13,0.00709495460614562,8501.643781411954
2026-02-16,0.007254936266690493,8563.546945445214
2026-02-17,0.007411601487547159,8627.25233056744
2026-02-18,0.0075681498274207115,8692.79236437476
2026-02-19,0.007725664880126715,8760.210052965525
2026-02-20,0.007881306111812592,8829.524736325851
2026-02-23,0.008023403584957123,8900.652538710434
2026-02-24,0.008158816024661064,8973.568374239348
2026-02-25,0.008287864737212658,9048.249139699898
2026-02-26,0.008396822027862072,9124.545552807836
