Ticker,Split,Model,Return_MAE,Return_RMSE,Price_MAE,Price_RMSE,Price_MAPE,Price_R2,Direction_Accuracy
BBCA.JK,Train,Naive_Zero_Return,0.009866475127637386,0.014644442947447846,46.89360427856445,71.74841094168045,0.98518544,0.9985607266426086,11.144130757800893
BBCA.JK,Test,Naive_Zero_Return,0.011742884293198586,0.015903808249828764,99.95574188232422,133.89378223754454,1.1735914,0.961512565612793,8.712871287128712
BBCA.JK,Train,MA5_Return,0.01124691590666771,0.01625722562436639,53.530216217041016,79.520517448722,1.1233301,0.9982320070266724,40.762753838533925
BBCA.JK,Test,MA5_Return,0.013062996789813042,0.017494976893274235,111.04312896728516,147.374145194722,1.305476,0.953372597694397,43.366336633663366
BBCA.JK,Train,Ridge_Return,0.008396638557314873,0.01140955481924317,40.557804107666016,59.18266958245674,0.839899,0.9990206956863403,61.51560178306092
BBCA.JK,Test,Ridge_Return,0.013933558948338032,0.018454958153410517,118.63873291015625,155.5025434378004,1.3972882,0.9480873346328735,46.13861386138614
BBCA.JK,Train,LSTM_Return_Ensemble,0.009729554876685143,0.014355880685170366,46.22516632080078,70.6700216012773,0.97172606,0.9986037015914917,50.56958890539871
BBCA.JK,Test,LSTM_Return_Ensemble,0.011838856153190136,0.01593457632560918,100.70034790039062,133.99838939097364,1.1830035,0.9614523649215698,49.306930693069305
BBCA.JK,Train,LSTM_Univariate,0.009854685515165329,0.01451694609771758,46.76688003540039,71.07216018333058,0.9845255,0.9985877275466919,49.33135215453195
BBCA.JK,Test,LSTM_Univariate,0.011714670807123184,0.015773815168811527,99.7230224609375,132.7285396377697,1.1713958,0.9621795415878296,48.71287128712871
