Ticker,Split,Model,Return_MAE,Return_RMSE,Price_MAE,Price_RMSE,Price_MAPE,Price_R2,Direction_Accuracy
BMRI.JK,Train,Naive_Zero_Return,0.014048228971660137,0.02014789194079916,31.655309677124023,44.88388747080836,1.4040544,0.9970239400863647,11.98019801980198
BMRI.JK,Test,Naive_Zero_Return,0.01501508243381977,0.020889236946140477,71.3321762084961,98.16402985723691,1.5021812,0.9751325845718384,10.495049504950495
BMRI.JK,Train,MA5_Return,0.015720654278993607,0.022284622986303303,35.622337341308594,49.669916306930695,1.5708063,0.996355414390564,39.70297029702971
BMRI.JK,Test,MA5_Return,0.016592970117926598,0.02285482136809162,78.76819610595703,107.19135834892428,1.6594859,0.970348596572876,45.940594059405946
BMRI.JK,Train,Ridge_Return,0.011894064024090767,0.016007569732542616,27.501663208007812,37.85731138618569,1.1899499,0.9978827834129333,59.257425742574256
BMRI.JK,Test,Ridge_Return,0.018430951982736588,0.024028542798009738,87.53138732910156,113.28260775048392,1.84564,0.9668828845024109,42.37623762376238
BMRI.JK,Train,LSTM_Return_Ensemble,0.013732188381254673,0.019620840410563622,31.053611755371094,44.02648267529229,1.3724124,0.9971365332603455,51.48514851485149
BMRI.JK,Test,LSTM_Return_Ensemble,0.015192621387541294,0.021102896998604497,72.28907775878906,99.12484729654064,1.5205534,0.9746434092521667,46.13861386138614
BMRI.JK,Train,LSTM_Univariate,0.01401385385543108,0.02004643992745759,31.558698654174805,44.63704127853416,1.4012282,0.9970566034317017,47.524752475247524
BMRI.JK,Test,LSTM_Univariate,0.015089360065758228,0.020862364859427926,71.71971130371094,97.97711786432585,1.5103505,0.9752271771430969,45.34653465346535
