Date,Predicted_Log_Return,Predicted_Close
2026-01-16,0.003386210883036256,4599.281195559671
2026-01-19,0.0012881751172244549,4605.209692804416
2026-01-20,-5.808990681543946e-05,4604.94218437234
2026-01-21,0.00016281299758702517,4605.691989850476
2026-01-22,0.002633163472637534,4617.835510685641
2026-01-23,0.003805178217589855,4635.440671928705
2026-01-26,0.004799560643732548,4657.742226564885
2026-01-27,0.005691773723810911,4684.328631507832
2026-01-28,0.006527896970510483,4715.007471399159
2026-01-29,0.007249367889016867,4749.31248977131
2026-01-30,0.00872371718287468,4790.925394444857
2026-02-02,0.009312662295997143,4835.750059257951
2026-02-03,0.009676618501543999,4882.770902222935
2026-02-04,0.01013517938554287,4932.510294269752
2026-02-05,0.010715173557400703,4985.647175189164
2026-02-06,0.011117199435830116,5041.382847404623
2026-02-09,0.011593375355005264,5100.169601072171
2026-02-10,0.011939040385186672,5161.425673651032
2026-02-11,0.012198498472571373,5224.772901859179
2026-02-12,0.01236515399068594,5289.779100918754
2026-02-13,0.012512926943600178,5356.385572246975
2026-02-16,0.012553204782307148,5424.049186279693
2026-02-17,0.012539048679172993,5492.489796407832
2026-02-18,0.012508604675531387,5561.6246689191885
2026-02-19,0.012499114498496056,5631.576308532886
2026-02-20,0.012462499551475048,5702.198979198349
2026-02-23,0.012412535026669502,5773.418818725922
2026-02-24,0.012372315861284733,5845.293088696851
2026-02-25,0.012375453487038612,5918.080702336881
2026-02-26,0.012374931946396828,5991.771567593542
