Ticker,Price_MAPE,Price_R2,Direction_Accuracy,MAPE_Grade,Fit_Status,Beats_Naive
BBCA.JK,1.182021,0.9614715576171876,48.91089108910891,Excellent (<= 10%),Good Fit,True
BBRI.JK,1.5298929,0.9747018814086914,44.66403162055336,Excellent (<= 10%),Good Fit,True
BMRI.JK,1.5215129,0.9746538400650024,47.12871287128713,Excellent (<= 10%),Good Fit,True
