Date,Open,High,Low,Close,Volume,ROE,EPS,DY,MA7,MA20,MA50,RSI,BB_upper,BB_lower,BB_width,Daily_Return,Log_Return,Volume_MA7,MACD,MACD_signal
2015-03-13,1362.193254700915,1364.8128768664415,1335.997314453125,1335.997314453125,135312787,0.18135999,389.06,0.134,1350.5922677176338,1332.5918518066405,1269.4593823242187,52.083383889999375,1401.4735042338475,1263.7101993794336,137.76330485441395,-0.011627933228991805,-0.011696066324289222,105548786.71428572,25.064945781245797,28.641485865972996
2015-03-16,1325.5188837238657,1362.1933142366458,1325.5188837238657,1351.7149658203125,78571607,0.18135999,389.06,0.134,1351.3407331194196,1337.3071411132812,1272.078984375,54.000050320463345,1396.788796724927,1277.8254855016355,118.96331122329138,0.011764732755934704,0.011696066324289179,103846114.57142857,24.00673414722496,27.71453552222339
2015-03-17,1351.7149724337266,1362.1933209013264,1351.7149724337266,1354.3345947265625,66427397,0.18135999,389.06,0.134,1349.0953543526787,1342.0224182128907,1274.8557666015624,49.999999994191,1389.438103833111,1294.6067325926704,94.8313712404406,0.0019380039227872015,0.0019361284159536288,99541426.0,23.11304318833686,26.794237055446086
2015-03-18,1341.2363942690363,1359.5736083984375,1320.2796987243498,1359.5736083984375,95450848,0.18135999,389.06,0.134,1349.843784877232,1347.1306396484374,1277.894501953125,51.06368633635591,1373.5122122521036,1320.7490670447712,52.7631452073324,0.003868330390639274,0.003860867640032425,99110061.42857143,22.56738847712586,25.948867339782044
2015-03-19,1367.4324951171875,1372.6717394332409,1356.954147188817,1367.4324951171875,100387733,0.18135999,389.06,0.134,1352.46337890625,1350.1431762695313,1280.5665014648437,57.44675365740665,1370.3561739104002,1329.9301786286624,40.42599528173787,0.005780405466981442,0.005763763025873608,100330532.42857143,22.509622746736795,25.261018421173
2015-03-20,1343.8560989802556,1364.8129365166646,1343.8560989802556,1351.7149658203125,149571783,0.18135999,389.06,0.134,1353.2118443080358,1351.0600463867188,1282.5050073242187,47.99993662061936,1369.671060576532,1332.4490321969056,37.22202837962641,-0.01149419028215215,-0.011560759081859816,100131350.42857143,20.954024777630366,24.399619692464473
2015-03-23,1351.7149658203125,1359.5736919566268,1349.0953435402937,1351.7149658203125,118939004,0.18135999,389.06,0.134,1353.2118443080358,1352.1078979492188,1284.3387255859375,51.06384032891166,1368.0785954648286,1336.137200433609,31.9413950312196,0.0,0.0,106380165.57142857,19.49645913485324,23.41898758094223
2015-03-24,1356.9541337442786,1367.432481568831,1354.3345116122068,1362.1932373046875,116933669,0.18135999,389.06,0.134,1356.9541190011162,1353.155743408203,1286.958330078125,57.14278920833035,1368.871063042547,1337.4404237738593,31.430639268687628,0.007751835075685554,0.007721943976700756,103754577.28571428,18.968183389153182,22.52882674258442
2015-03-25,1362.1931752291223,1388.3892546523418,1359.5735532164274,1377.9107666015625,121217143,0.18135999,389.06,0.134,1360.6963762555804,1354.3345520019532,1289.7351049804688,61.11105357567413,1373.565794275671,1335.1033097282354,38.46248454743545,0.011538399153981027,0.011472339489364452,109846796.71428572,19.5919505022257,21.941451494512677
2015-03-26,1367.4326366189355,1391.0090977771285,1364.8130141898307,1375.29150390625,117552430,0.18135999,389.06,0.134,1363.690220424107,1355.2514099121095,1292.6166748046876,52.173943868502,1376.6364079623343,1333.8664118618847,42.76999610044959,-0.0019008942805291973,-0.0019027032728944123,117150372.85714285,19.648442805978675,21.482849756805876
2015-03-27,1382.773551902886,1406.8917320710498,1382.773551902886,1401.5321044921875,136639960,0.18135999,389.06,0.134,1369.684291294643,1357.8732482910157,1296.1278369140625,68.01099361084451,1387.3914350096568,1328.3550615723746,59.036373437282236,0.019080028133240168,0.018900287106988104,123034531.71428572,21.562056562999715,21.498691118044647
2015-03-30,1393.4924278739136,1414.930790633413,1390.8126145368897,1396.1722412109375,144405544,0.18135999,389.06,0.134,1373.7899693080358,1359.8341430664063,1299.7937646484374,67.94844824646167,1393.9480458020014,1325.7202403308113,68.2278054711901,-0.0038242886224800765,-0.0038316199114931254,129322790.42857143,22.38803771699918,21.676560437835555
2015-03-31,1414.930896302593,1422.9703369140625,1406.8915996278267,1422.9703369140625,211002894,0.18135999,389.06,0.134,1383.9693080357142,1363.5278930664062,1303.94326171875,74.62433432628644,1407.3597090621342,1319.6960770706783,87.66363199145599,0.019193975436642585,0.019012094747493307,138098663.42857143,24.91777944397745,22.324804239063933
2015-04-01,1422.9703591434527,1441.7289102598877,1390.8127401319175,1393.4925537109375,212229965,0.18135999,389.06,0.134,1389.937534877232,1366.0097106933595,1307.7127709960937,61.63320801439282,1410.7629534336768,1321.2564679530421,89.50648548063464,-0.02071566949670378,-0.020933249094831394,151425943.57142857,24.264303453822322,22.712704082015613
2015-04-02,1412.2511048273725,1414.9309184063925,1390.8127401319175,1393.4925537109375,125102960,0.18135999,389.06,0.134,1394.4088657924108,1368.3605529785157,1311.6394604492189,67.54571374564306,1413.7286398501012,1322.9924661069301,90.7361737431711,0.0,0.0,152592985.14285713,23.47580456177684,22.86532417796786
2015-04-06,1393.4924278739136,1404.2116812220092,1390.8126145368897,1396.1722412109375,102198365,0.18135999,389.06,0.134,1397.0176478794642,1369.666552734375,1315.5149560546874,64.73987456133793,1416.712479175487,1322.620626293263,94.09185288222398,0.001923000946695952,0.0019211543473380195,149876016.85714287,22.804268483259648,22.85311303902622
2015-04-07,1406.891615434986,1420.2905393346093,1401.531988300455,1412.2510986328125,126392733,0.18135999,389.06,0.134,1402.2975899832588,1372.5623779296875,1318.8737548828126,67.62894396382136,1422.665271462315,1322.45948439706,100.20578706525521,0.011516385261985507,0.011450576468248102,151138917.2857143,23.300902421399996,22.942670915500976
2015-04-08,1409.5712751523217,1414.9309022491598,1398.8521648953495,1404.2117919921875,105140366,0.18135999,389.06,0.134,1402.6804024832588,1375.3182006835937,1322.071767578125,63.35947192297938,1426.0455771438656,1324.5908242233218,101.4547529205438,-0.005692547627265232,-0.00570881192942225,146638975.2857143,22.78315352500522,22.910767437401827
2015-04-09,1404.2119182816186,1412.2512157131955,1396.1724769133252,1401.5321044921875,43622903,0.18135999,389.06,0.134,1403.4460972377233,1378.0710205078126,1325.1113989257813,60.53195130733803,1428.1798199483492,1327.962221067276,100.21759888107317,-0.001908321462105289,-0.001910144627332775,132241455.14285715,21.90410848053625,22.709435646028712
2015-04-10,1396.1722412109375,1409.5711639593649,1393.4924278739136,1396.1722412109375,60428993,0.18135999,389.06,0.134,1399.6177978515625,1380.2938842773438,1328.5153637695312,64.66957860524985,1429.4144150198292,1331.1733535348583,98.24106148497094,-0.0038242886224800765,-0.0038316199114931254,110730897.85714285,20.53821106450755,22.275190729724482
2015-04-13,1393.4925537109375,1398.8521808689775,1388.1330704896027,1393.4925537109375,136079500,0.18135999,389.06,0.134,1399.6177978515625,1383.1686462402345,1331.8657348632812,63.54581262741639,1427.908031260056,1338.4292612204129,89.47877003964322,-0.0019193101115345668,-0.0019211543473381183,99852260.0,19.02024558397784,21.624201700575153
2015-04-14,1390.8127401319175,1396.1723672899575,1388.1330704896027,1393.4925537109375,94192426,0.18135999,389.06,0.134,1399.6177978515625,1385.2575256347657,1335.26849609375,60.888216613543,1427.6532563726057,1342.8617948969256,84.79146147568008,0.0,0.0,95436469.42857143,17.6142014544007,20.82220165134026
2015-04-15,1404.2119182816186,1404.2119182816186,1388.1331794817484,1401.5321044921875,80791995,0.18135999,389.06,0.134,1400.3834926060267,1387.6174011230469,1338.7272705078126,58.68098048815655,1427.9708251410964,1347.2639771049974,80.70684803609902,0.0057693532411351445,0.005752774258831119,92378416.57142857,16.953199974126164,20.048401315897443
2015-04-16,1406.8917236328125,1409.571393469455,1398.852282312738,1406.8917236328125,75442053,0.18135999,389.06,0.134,1399.6178676060267,1389.9833068847656,1342.2408447265625,61.383971166792286,1428.9380429356459,1351.0285708338854,77.90947210176046,0.0038241144269519634,0.003816821089168927,85099748.0,16.669670427019582,19.372655138121875
2015-04-17,1406.8916216060377,1412.2511048273725,1390.8127401319175,1393.4925537109375,99767323,0.18135999,389.06,0.134,1398.0865478515625,1391.286309814453,1345.4340454101562,46.80846526686738,1428.781035922155,1353.791583706751,74.98945221540407,-0.009523952481059639,-0.009569595348000181,84332170.42857143,15.18868448692001,18.5358610078815
2015-04-20,1382.7733214376744,1409.5711669921875,1380.0935080948848,1409.5711669921875,109599293,0.18135999,389.06,0.134,1399.2349853515625,1394.1791198730468,1349.1059887695312,54.90192925482619,1427.5159543888622,1360.8422853572315,66.67366903163065,0.011538356081223222,0.011472296907927348,93757369.0,15.13790186697679,17.85626917970056
2015-04-21,1412.2510946434295,1414.930908203125,1404.2117979010472,1414.930908203125,48140131,0.18135999,389.06,0.134,1401.914794921875,1397.3399169921875,1352.9899096679687,46.511620510526924,1425.2740730879073,1369.4057608964677,55.8683121914396,0.003802391348834311,0.0037951805319676704,92001817.28571428,15.353160915278522,17.355647526816153
2015-04-22,1398.8521747331893,1412.2510986328125,1393.4925475986581,1412.2510986328125,100332182,0.18135999,389.06,0.134,1404.5945870535713,1399.8428100585938,1356.767841796875,60.6060062185957,1423.0955218892684,1376.5900982279193,46.50542366134914,-0.0018939508316456743,-0.0018957466243089206,86895057.57142857,15.133072387224956,16.911132498897913
2015-04-23,1406.8916135425452,1406.8916135425452,1393.4925457242407,1398.8521728515625,207800189,0.18135999,389.06,0.134,1405.3602469308037,1400.8898803710938,1360.3301879882813,52.631585249269705,1421.7468397933376,1380.03292094885,41.71391884448758,-0.009487637003236404,-0.009532931349730904,103124738.0,13.719321513610566,16.272770301840445
